time,action,ticker,price,qty,fee,cost,source,spread,capital_after,slippage,mid_at_fill,strategy
2025-12-14 13:12:57.418539,BUY_YES,KXHIGHNY-25DEC15-B32.5,10,118,0.75,12.55,MM,2,513.0699999999999,1.0,9.0,RegimeSwitcher
2025-12-14 13:14:28.413173,BUY_NO,KXHIGHNY-25DEC15-B28.5,60,63,1.06,38.86,MM,2,474.2099999999999,1.0,41.0,RegimeSwitcher
2025-12-14 13:16:16.814388,BUY_YES,KXHIGHNY-25DEC15-B32.5,10,94,0.6,10.0,MM,2,464.2099999999999,1.0,9.0,RegimeSwitcher
2025-12-14 13:16:20.339612,BUY_YES,KXHIGHNY-25DEC15-B32.5,9,2,0.02,0.19999999999999998,MM,2,464.00999999999993,1.0,8.0,RegimeSwitcher
2025-12-14 13:20:10.636235,BUY_NO,KXHIGHNY-25DEC15-B28.5,60,45,0.76,27.76,MM,1,436.24999999999994,0.5,40.5,RegimeSwitcher
2025-12-14 13:22:45.893069,BUY_NO,KXHIGHNY-25DEC15-B28.5,60,35,0.59,21.59,MM,2,414.65999999999997,1.0,41.0,RegimeSwitcher
2025-12-14 13:31:34.831815,BUY_NO,KXHIGHNY-25DEC15-B28.5,60,28,0.48,17.28,MM,2,397.38,1.0,41.0,RegimeSwitcher
2025-12-14 13:32:25.093303,BUY_NO,KXHIGHNY-25DEC15-B28.5,60,1,0.02,0.62,MM,2,396.76,1.0,41.0,RegimeSwitcher
2025-12-14 17:18:57.739988,BUY_NO,KXHIGHNY-25DEC15-B28.5,53,1,0.02,0.55,MM,2,396.21,1.0,48.0,RegimeSwitcher
2025-12-15 05:01:10.981441,BUY_NO,KXHIGHNY-25DEC15-B30.5,71,14,0.21,10.15,MM,3,468.06,1.5,30.5,RegimeSwitcher
2025-12-15 05:03:20.551658,BUY_NO,KXHIGHNY-25DEC15-B30.5,69,34,0.51,23.97,MM,4,444.09000000000003,2.0,33.0,RegimeSwitcher
2025-12-15 05:03:25.201462,BUY_NO,KXHIGHNY-25DEC15-B30.5,68,36,0.55,25.03,MM,3,419.06000000000006,1.5,33.5,RegimeSwitcher
2025-12-15 07:16:35.497871,BUY_YES,KXHIGHNY-25DEC16-T35,6,1,0.01,0.06999999999999999,MM,1,418.99000000000007,0.5,5.5,RegimeSwitcher
2025-12-15 07:19:08.056454,BUY_YES,KXHIGHNY-25DEC16-T28,4,1,0.01,0.05,MM,2,418.94000000000005,1.0,3.0,RegimeSwitcher
2025-12-16 05:00:55.269868,BUY_YES,KXHIGHNY-25DEC16-B28.5,4,161,0.44,6.880000000000001,MM,3,499.06000000000006,1.5,2.5,RegimeSwitcher
2025-12-16 05:02:43.040840,BUY_YES,KXHIGHNY-25DEC16-B30.5,22,129,1.55,29.93,MM,2,469.13000000000005,1.0,21.0,RegimeSwitcher
2025-12-16 05:03:57.732678,BUY_YES,KXHIGHNY-25DEC16-B28.5,2,339,0.47,7.25,MM,2,461.88000000000005,1.0,1.0,RegimeSwitcher
2025-12-16 05:04:52.562247,BUY_YES,KXHIGHNY-25DEC16-B30.5,21,80,0.93,17.73,MM,1,444.15000000000003,0.5,20.5,RegimeSwitcher
2025-12-16 05:04:58.649916,BUY_YES,KXHIGHNY-25DEC16-T28,1,123,0.09,1.32,MM,1,442.83000000000004,0.5,0.5,RegimeSwitcher
2025-12-16 05:05:35.492937,BUY_NO,KXHIGHNY-25DEC16-B34.5,83,34,0.34,28.56,MM,2,414.27000000000004,1.0,18.0,RegimeSwitcher
2025-12-16 05:05:38.708985,BUY_NO,KXHIGHNY-25DEC16-B34.5,80,30,0.34,24.34,MM,2,389.93000000000006,1.0,21.0,RegimeSwitcher
2025-12-16 05:05:42.616772,BUY_NO,KXHIGHNY-25DEC16-B34.5,80,26,0.3,21.1,MM,2,368.83000000000004,1.0,21.0,RegimeSwitcher
2025-12-16 05:06:08.091751,BUY_NO,KXHIGHNY-25DEC16-B34.5,82,22,0.23,18.27,MM,5,350.56000000000006,2.5,20.5,RegimeSwitcher
2025-12-16 05:06:25.329449,BUY_NO,KXHIGHNY-25DEC16-B34.5,80,22,0.25,17.85,MM,3,332.71000000000004,1.5,21.5,RegimeSwitcher
