time,action,ticker,price,qty,fee,cost,source,spread,capital_after,slippage,mid_at_fill,note
2025-12-10 10:34:53.485814,BUY_YES,KXHIGHNY-25DEC10-B46.5,69.0,1,0.02,0.71,MM,1.0,125.05000000000013,1.5,67.5,
2025-12-10 10:34:58.453252,BUY_YES,KXHIGHNY-25DEC10-B46.5,68.0,2,0.04,1.4000000000000001,MM,1.0,123.65000000000012,0.5,67.5,
2025-12-10 10:35:01.388901,BUY_YES,KXHIGHNY-25DEC10-B46.5,68.0,1,0.02,0.7000000000000001,MM,1.0,122.95000000000012,0.5,67.5,
2025-12-10 10:40:55.518632,BUY_YES,KXHIGHNY-25DEC10-B44.5,12.0,4,0.03,0.51,MM,1.0,122.44000000000011,1.5,10.5,
2025-12-10 10:44:09.640475,BUY_NO,KXHIGHNY-25DEC10-T47,84.0,1,0.01,0.85,MM,2.0,121.59000000000012,1.0,17.0,
2025-12-10 10:44:12.519156,BUY_NO,KXHIGHNY-25DEC10-T47,84.0,1,0.01,0.85,MM,1.0,120.74000000000012,1.5,17.5,
2025-12-10 10:44:20.519231,BUY_NO,KXHIGHNY-25DEC10-T47,83.0,1,0.01,0.84,MM,1.0,119.90000000000012,0.5,17.5,
2025-12-10 10:44:29.315665,BUY_NO,KXHIGHNY-25DEC10-T47,83.0,1,0.01,0.84,MM,2.0,119.06000000000012,1.0,18.0,
2025-12-10 10:44:32.176916,BUY_NO,KXHIGHNY-25DEC10-T47,83.0,1,0.01,0.84,MM,1.0,118.22000000000011,0.5,17.5,
2025-12-10 10:44:34.408228,BUY_YES,KXHIGHNY-25DEC10-B46.5,73.0,1,0.02,0.75,MM,7.0,117.47000000000011,3.5,69.5,
2025-12-10 10:49:54.419917,BUY_YES,KXHIGHNY-25DEC10-B46.5,69.0,2,0.03,1.41,MM,1.0,116.06000000000012,1.5,67.5,
2025-12-12 09:46:29.899106,BUY_NO,KXHIGHNY-25DEC12-B32.5,95.0,3,0.01,2.8599999999999994,MM,3.0,282.2000000000001,1.5,6.5,
2025-12-12 09:46:33.979777,BUY_NO,KXHIGHNY-25DEC12-B32.5,94.0,6,0.03,5.67,MM,1.0,276.5300000000001,0.5,6.5,
2025-12-12 09:53:23.423322,BUY_NO,KXHIGHNY-25DEC12-B34.5,45.0,35,0.61,16.36,MM,2.0,260.1700000000001,1.0,56.0,
2025-12-12 09:53:23.479492,BUY_NO,KXHIGHNY-25DEC12-B34.5,45.0,28,0.49,13.09,MM,1.0,247.08000000000007,1.5,56.5,
2025-12-12 09:53:29.585480,BUY_NO,KXHIGHNY-25DEC12-B34.5,44.0,24,0.42,10.98,MM,2.0,236.10000000000008,1.0,57.0,
2025-12-12 09:53:29.585998,BUY_NO,KXHIGHNY-25DEC12-B34.5,44.0,20,0.35,9.15,MM,3.0,226.95000000000007,1.5,57.5,
2025-12-12 09:53:29.922717,BUY_NO,KXHIGHNY-25DEC12-B34.5,44.0,18,0.32,8.24,MM,2.0,218.71000000000006,2.0,58.0,
2025-12-12 09:53:30.759899,BUY_NO,KXHIGHNY-25DEC12-B34.5,43.0,17,0.3,7.609999999999999,MM,1.0,211.10000000000008,1.5,58.5,
2025-12-12 09:53:34.597357,BUY_YES,KXHIGHNY-25DEC12-B36.5,40.0,30,0.51,12.51,MM,6.0,198.5900000000001,3.0,37.0,
2025-12-12 09:53:39.197035,BUY_NO,KXHIGHNY-25DEC12-B34.5,42.0,16,0.28,7.0,MM,2.0,191.5900000000001,1.0,59.0,
2025-12-12 09:53:39.197196,BUY_NO,KXHIGHNY-25DEC12-B34.5,42.0,14,0.24,6.12,MM,1.0,185.47000000000008,1.5,59.5,
2025-12-12 09:53:39.591238,BUY_YES,KXHIGHNY-25DEC12-B36.5,41.0,22,0.38,9.4,MM,4.0,176.07000000000008,3.0,38.0,
2025-12-12 09:53:41.048150,BUY_YES,KXHIGHNY-25DEC12-B36.5,40.0,19,0.32,7.920000000000001,MM,5.0,168.1500000000001,2.5,37.5,
2025-12-12 09:53:41.107875,BUY_YES,KXHIGHNY-25DEC12-B36.5,40.0,17,0.29,7.090000000000001,MM,4.0,161.0600000000001,3.0,37.0,
2025-12-12 09:53:41.236528,BUY_YES,KXHIGHNY-25DEC12-B36.5,40.0,15,0.26,6.26,MM,4.0,154.8000000000001,3.0,37.0,
2025-12-12 09:53:41.430426,BUY_YES,KXHIGHNY-25DEC12-B36.5,40.0,9,0.16,3.7600000000000002,MM,4.0,151.0400000000001,3.0,37.0,
2025-12-12 09:53:41.755184,BUY_YES,KXHIGHNY-25DEC12-B36.5,40.0,3,0.06,1.2600000000000002,MM,4.0,149.78000000000011,3.0,37.0,
2025-12-12 09:53:45.775078,BUY_NO,KXHIGHNY-25DEC12-B34.5,41.0,13,0.23,5.5600000000000005,MM,2.0,144.2200000000001,1.0,60.0,
2025-12-12 09:53:46.456280,BUY_NO,KXHIGHNY-25DEC12-B34.5,41.0,10,0.17,4.27,MM,1.0,139.9500000000001,1.5,60.5,
2025-12-12 09:53:52.546148,BUY_NO,KXHIGHNY-25DEC12-B34.5,40.0,10,0.17,4.17,MM,2.0,135.78000000000011,1.0,61.0,
2025-12-12 09:53:52.546293,BUY_NO,KXHIGHNY-25DEC12-B34.5,40.0,9,0.16,3.7600000000000002,MM,1.0,132.02000000000012,1.5,61.5,
2025-12-12 09:53:52.759635,BUY_NO,KXHIGHNY-25DEC12-B34.5,39.0,9,0.15,3.66,MM,2.0,128.36000000000013,1.0,62.0,
2025-12-12 09:53:52.759867,BUY_NO,KXHIGHNY-25DEC12-B34.5,39.0,8,0.14,3.2600000000000002,MM,1.0,125.10000000000012,1.5,62.5,
2025-12-12 09:54:00.690466,BUY_NO,KXHIGHNY-25DEC12-B34.5,38.0,8,0.14,3.18,MM,7.0,121.92000000000012,3.5,65.5,
2025-12-12 09:54:00.856325,BUY_NO,KXHIGHNY-25DEC12-B34.5,38.0,8,0.14,3.18,MM,4.0,118.74000000000011,3.0,65.0,
2025-12-12 09:54:00.985688,BUY_NO,KXHIGHNY-25DEC12-B34.5,37.0,8,0.14,3.1,MM,7.0,115.64000000000011,3.5,66.5,
2025-12-12 09:54:01.173824,BUY_NO,KXHIGHNY-25DEC12-B34.5,37.0,5,0.09,1.9400000000000002,MM,4.0,113.70000000000012,2.0,65.0,
2025-12-12 09:54:01.674894,BUY_NO,KXHIGHNY-25DEC12-B34.5,37.0,3,0.05,1.16,MM,3.0,112.54000000000012,2.5,65.5,
2025-12-12 09:54:01.728216,BUY_NO,KXHIGHNY-25DEC12-B34.5,36.0,2,0.04,0.76,MM,2.0,111.78000000000011,1.0,65.0,
2025-12-12 09:54:01.881234,BUY_NO,KXHIGHNY-25DEC12-B34.5,36.0,1,0.02,0.38,MM,6.0,111.40000000000012,3.0,67.0,
2025-12-12 09:54:02.045172,BUY_NO,KXHIGHNY-25DEC12-B34.5,36.0,1,0.02,0.38,MM,5.0,111.02000000000012,2.5,66.5,
