timestamp,ticker,yes_bid,yes_ask,no_bid,no_ask,last_price,open_interest,volume,liquidity
2025-11-24T23:59:44.862518+00:00,KXHIGHNY-25NOV25-B54.5,36,38,62,64,37,4298,5032,582727
2025-11-24T23:59:44.862518+00:00,KXHIGHNY-25NOV25-B52.5,11,12,88,89,12,2022,2567,320292
2025-11-24T23:59:44.862518+00:00,KXHIGHNY-25NOV24-T56,0,1,99,100,1,6509,6549,39631
2025-11-24T23:59:44.862518+00:00,KXHIGHNY-25NOV24-T49,0,1,99,100,1,4964,6583,2406891
2025-11-24T23:59:44.862518+00:00,KXHIGHNY-25NOV24-B55.5,0,1,99,100,1,11815,16103,32136
2025-11-24T23:59:44.862518+00:00,KXHIGHNY-25NOV24-B53.5,0,1,99,100,1,19572,36652,56313
2025-11-24T23:59:44.862518+00:00,KXHIGHNY-25NOV24-B51.5,99,100,0,1,99,16704,40514,21043
2025-11-24T23:59:44.862518+00:00,KXHIGHNY-25NOV24-B49.5,0,1,99,100,1,7853,17216,2490200
2025-11-25T00:00:45.009729+00:00,KXHIGHNY-25NOV25-T59,3,6,94,97,3,237,269,158895
2025-11-25T00:00:45.009729+00:00,KXHIGHNY-25NOV25-T52,1,2,98,99,1,248,248,131057
2025-11-25T00:00:45.009729+00:00,KXHIGHNY-25NOV25-B58.5,20,21,79,80,20,651,694,299827
2025-11-25T00:00:45.009729+00:00,KXHIGHNY-25NOV25-B56.5,33,36,64,67,33,1736,2189,352810
2025-11-25T00:00:45.009729+00:00,KXHIGHNY-25NOV25-B54.5,36,38,62,64,37,4298,5032,582847
2025-11-25T00:00:45.009729+00:00,KXHIGHNY-25NOV25-B52.5,11,12,88,89,12,2022,2567,319606
2025-11-25T00:00:45.009729+00:00,KXHIGHNY-25NOV24-T56,0,1,99,100,1,6509,6549,39631
2025-11-25T00:00:45.009729+00:00,KXHIGHNY-25NOV24-T49,0,1,99,100,1,4964,6583,2406891
2025-11-25T00:00:45.009729+00:00,KXHIGHNY-25NOV24-B55.5,0,1,99,100,1,11815,16103,32136
2025-11-25T00:00:45.009729+00:00,KXHIGHNY-25NOV24-B53.5,0,1,99,100,1,19572,36652,56313
2025-11-25T00:00:45.009729+00:00,KXHIGHNY-25NOV24-B51.5,99,100,0,1,99,16704,40514,21043
2025-11-25T00:00:45.009729+00:00,KXHIGHNY-25NOV24-B49.5,0,1,99,100,1,7853,17216,2490200
2025-11-25T00:01:45.143800+00:00,KXHIGHNY-25NOV25-T59,3,6,94,97,3,237,269,158895
2025-11-25T00:01:45.143800+00:00,KXHIGHNY-25NOV25-T52,1,2,98,99,1,248,248,131057
2025-11-25T00:01:45.143800+00:00,KXHIGHNY-25NOV25-B58.5,20,21,79,80,20,651,694,298911
2025-11-25T00:01:45.143800+00:00,KXHIGHNY-25NOV25-B56.5,33,36,64,67,33,1736,2189,353449
2025-11-25T00:01:45.143800+00:00,KXHIGHNY-25NOV25-B54.5,36,38,62,64,37,4298,5032,582797
2025-11-25T00:01:45.143800+00:00,KXHIGHNY-25NOV25-B52.5,11,12,88,89,12,2022,2567,320335
2025-11-25T00:01:45.143800+00:00,KXHIGHNY-25NOV24-T56,0,1,99,100,1,6509,6549,39631
2025-11-25T00:01:45.143800+00:00,KXHIGHNY-25NOV24-T49,0,1,99,100,1,4964,6583,2406891
2025-11-25T00:01:45.143800+00:00,KXHIGHNY-25NOV24-B55.5,0,1,99,100,1,11815,16103,32136
2025-11-25T00:01:45.143800+00:00,KXHIGHNY-25NOV24-B53.5,0,1,99,100,1,19572,36652,56313
2025-11-25T00:01:45.143800+00:00,KXHIGHNY-25NOV24-B51.5,99,100,0,1,99,16704,40514,21043
