timestamp,market_ticker,best_yes_bid,best_no_bid,implied_no_ask,implied_yes_ask,last_trade_price
2026-01-08T23:09:02.097932,KXHIGHNY-26JAN09-B55.5,9,86,91,14,11
2026-01-08T23:09:02.264417,KXHIGHNY-26JAN09-B55.5,9,87,91,13,11
2026-01-08T23:09:03.254177,KXHIGHNY-26JAN09-B51.5,42,52,58,48,40
2026-01-08T23:09:04.972836,KXHIGHNY-26JAN09-B49.5,17,78,83,22,18
2026-01-08T23:09:05.158357,KXHIGHNY-26JAN09-B49.5,16,78,84,22,18
2026-01-08T23:09:05.185687,KXHIGHNY-26JAN09-B49.5,16,79,84,21,18
2026-01-08T23:09:05.219383,KXHIGHNY-26JAN09-B51.5,42,53,58,47,40
2026-01-08T23:09:07.567943,KXHIGHNY-26JAN09-B55.5,9,86,91,14,11
2026-01-08T23:09:07.741091,KXHIGHNY-26JAN09-B55.5,9,87,91,13,11
2026-01-08T23:09:07.971189,KXHIGHNY-26JAN09-B51.5,42,52,58,48,40
2026-01-08T23:09:07.972696,KXHIGHNY-26JAN09-B51.5,42,54,58,46,40
2026-01-08T23:09:08.707421,KXHIGHNY-26JAN09-B49.5,16,80,84,20,18
2026-01-08T23:09:09.939965,KXHIGHNY-26JAN09-B49.5,16,79,84,21,18
2026-01-08T23:09:10.666817,KXHIGHNY-26JAN09-B49.5,16,77,84,23,18
2026-01-08T23:09:10.886749,KXHIGHNY-26JAN09-B49.5,16,79,84,21,18
2026-01-08T23:09:10.950269,KXHIGHNY-26JAN09-B51.5,42,52,58,48,40
2026-01-08T23:09:10.950269,KXHIGHNY-26JAN09-B51.5,42,55,58,45,40
2026-01-08T23:09:13.105620,KXHIGHNY-26JAN09-B55.5,9,86,91,14,11
2026-01-08T23:09:13.244648,KXHIGHNY-26JAN09-B55.5,9,87,91,13,11
2026-01-08T23:09:13.282391,KXHIGHNY-26JAN09-B51.5,42,52,58,48,40
2026-01-08T23:09:13.341386,KXHIGHNY-26JAN09-B51.5,42,53,58,47,40
2026-01-08T23:09:13.427724,KXHIGHNY-26JAN09-B49.5,16,80,84,20,18
2026-01-08T23:09:14.461542,KXHIGHNY-26JAN09-B49.5,16,79,84,21,18
2026-01-08T23:09:16.227966,KXHIGHNY-26JAN09-B49.5,16,78,84,22,18
2026-01-08T23:09:16.396887,KXHIGHNY-26JAN09-B49.5,16,79,84,21,18
2026-01-08T23:09:16.499527,KXHIGHNY-26JAN09-B51.5,42,52,58,48,40
2026-01-08T23:09:16.500532,KXHIGHNY-26JAN09-B51.5,42,54,58,46,40
2026-01-08T23:09:18.258763,KXHIGHNY-26JAN09-B49.5,16,80,84,20,18
2026-01-08T23:09:18.462052,KXHIGHNY-26JAN09-B51.5,41,54,59,46,40
2026-01-08T23:09:18.592544,KXHIGHNY-26JAN09-B55.5,9,86,91,14,11
2026-01-08T23:09:18.756187,KXHIGHNY-26JAN09-B55.5,9,87,91,13,11
2026-01-08T23:09:18.793119,KXHIGHNY-26JAN09-B51.5,41,53,59,47,40
2026-01-08T23:09:18.793119,KXHIGHNY-26JAN09-B51.5,41,55,59,45,40
2026-01-08T23:09:19.509811,KXHIGHNY-26JAN09-B49.5,16,79,84,21,18
